net,length_um
_0086_,3.405
_0104_,3.405
_0134_,3.405
_0161_,3.405
_0464_,3.4
_0066_,3.345
_0113_,3.34
_0114_,3.34
_0125_,3.34
_0162_,3.34
_0178_,3.3
_0292_,3.28
_0045_,3.245
_0463_,3.22
_0496_,3.22
_0529_,3.22
rf_ram_if.rgnt,3.2
_0013_,3.175
_0080_,3.175
_0248_,3.1
_0362_,3.1
_0500_,3.1
_0577_,3.1
_0583_,3.1
_0587_,3.1
rf_ram_if.wdata0_r\[0\],3.1
_0540_,3.08
_0552_,3.08
_0553_,3.08
_0557_,3.08
_0354_,3.06
_0036_,3.005
_0063_,3.005
_0012_,3
_0405_,2.98
_0561_,2.98
_0016_,2.96
_0296_,2.96
_0462_,2.96
_0624_,2.96
_0641_,2.96
_0077_,2.945
_0088_,2.945
_0089_,2.945
_0093_,2.945
_0103_,2.945
_0109_,2.945
_0110_,2.945
_0118_,2.945
_0132_,2.945
_0137_,2.945
_0142_,2.945
_0149_,2.945
_0160_,2.945
_0002_,2.885
_0061_,2.86
_0085_,2.86
_0163_,2.86
_0374_,2.86
_0423_,2.86
_0630_,2.86
_0297_,2.84
_0124_,2.795
_0044_,2.785
_0055_,2.785
_0642_,2.76
rf_ram_if.rreq_r,2.74
_0117_,2.715
_0123_,2.715
_0034_,2.705
_0196_,2.64
_0212_,2.64
_0236_,2.64
_0256_,2.64
_0474_,2.64
_0360_,2.63
_0182_,2.62
_0293_,2.62
_0450_,2.62
_0485_,2.62
_0560_,2.62
_0598_,2.62
_0000_,2.595
_0079_,2.595
_0156_,2.595
_0170_,2.595
_0150_,2.585
_0008_,2.545
_0064_,2.545
_0094_,2.545
_0112_,2.545
_0131_,2.545
_0153_,2.545
_0174_,2.545
_0393_,2.53
_0241_,2.52
_0506_,2.52
_0510_,2.52
_0559_,2.52
_0138_,2.5
_0200_,2.5
_0274_,2.5
_0543_,2.5
_0628_,2.5
_0116_,2.425
_0198_,2.4
_0202_,2.4
_0209_,2.4
_0218_,2.4
_0615_,2.4
_0375_,2.38
_0122_,2.375
_0015_,2.325
_0026_,2.325
_0291_,2.3
_0368_,2.3
_0011_,2.255
_0065_,2.255
_0169_,2.255
_0242_,2.18
_0344_,2.18
_0186_,2.16
_0237_,2.16
_0283_,2.16
_0366_,2.16
_0377_,2.16
_0541_,2.16
_0594_,2.16
_0639_,2.16
_0121_,2.145
_0076_,2.125
_0073_,2.085
_0108_,2.085
_0139_,2.085
_0145_,2.085
_0148_,2.085
_0151_,2.085
_0102_,2.06
_0247_,2.06
_0472_,2.06
_0563_,2.06
_0207_,2.04
_0304_,2.04
_0412_,2.04
_0470_,2.04
_0569_,2.04
_0039_,2.025
_0056_,2.025
_0222_,1.94
_0625_,1.94
_0049_,1.865
_0072_,1.865
_0099_,1.865
_0100_,1.865
_0107_,1.865
_0147_,1.865
_0152_,1.865
_0167_,1.865
_0369_,1.84
_0371_,1.84
_0479_,1.84
_0562_,1.84
_0568_,1.84
_0449_,1.7
_0611_,1.7
_0219_,1.6
_0498_,1.6
_0622_,1.6
_0576_,1.48
_0092_,1.46
_0407_,1.46
