net,length_um
o_dbus_adr[27],3.93
o_ibus_adr[13],3.93
o_ibus_adr[24],3.93
o_ibus_adr[29],3.93
o_wen,3.93
_0215_,3.9
_0587_,3.9
_0192_,3.88
_0213_,3.88
_0253_,3.88
_0462_,3.88
_0555_,3.88
_0613_,3.88
rf_ram_if.wdata0_r\[0\],3.88
_0006_,3.865
i_ibus_rdt[25],3.81
i_ibus_rdt[9],3.81
_0084_,3.805
_0020_,3.8
_0103_,3.8
_0198_,3.78
_0566_,3.78
net279,3.78
_0216_,3.74
_0224_,3.74
net17,3.74
_0114_,3.705
_0131_,3.705
_0151_,3.705
_0174_,3.705
_0108_,3.68
_0430_,3.66
_0115_,3.625
_0137_,3.625
_0076_,3.605
_0491_,3.56
_0044_,3.54
_0421_,3.54
_0534_,3.54
_0602_,3.54
net200,3.52
i_ibus_rdt[16],3.47
o_dbus_adr[29],3.47
_0010_,3.465
_0024_,3.465
_0033_,3.465
net223,3.465
_0078_,3.44
_0315_,3.42
_0618_,3.42
_0646_,3.42
cpu.gen_csr.csr.mcause31,3.42
_0087_,3.405
_0068_,3.34
_0071_,3.34
_0073_,3.34
_0109_,3.34
_0142_,3.34
_0150_,3.34
_0154_,3.34
_0166_,3.34
_0172_,3.34
_0009_,3.32
_0002_,3.245
net251,3.2
_0147_,3.175
_0066_,3.145
_0256_,3.1
_0344_,3.1
_0629_,3.1
net250,3.1
_0199_,3.08
_0485_,3.08
_0513_,3.08
_0537_,3.08
rf_ram_if.rreq_r,3.08
net248,3.08
_0086_,3.045
_0156_,3.045
_0212_,2.98
_0423_,2.98
_0644_,2.98
_0185_,2.96
_0197_,2.96
_0323_,2.96
_0441_,2.96
_0504_,2.96
_0647_,2.96
_0012_,2.945
_0018_,2.945
_0027_,2.945
_0067_,2.945
_0077_,2.945
_0082_,2.945
_0093_,2.945
_0136_,2.945
_0170_,2.945
_0208_,2.92
_0190_,2.86
_0274_,2.86
net274,2.84
_0374_,2.76
_0424_,2.76
_0479_,2.76
_0463_,2.74
_0038_,2.715
_0069_,2.715
_0152_,2.715
_0157_,2.715
_0375_,2.64
_0621_,2.64
_0041_,2.62
_0186_,2.62
_0219_,2.62
_0293_,2.62
_0431_,2.62
_0476_,2.62
_0543_,2.62
_0603_,2.62
_0101_,2.595
_0098_,2.585
_0122_,2.585
_0163_,2.585
_0144_,2.545
_0145_,2.545
_0233_,2.52
_0296_,2.52
_0221_,2.5
_0518_,2.5
_0521_,2.5
_0546_,2.5
_0549_,2.5
_0631_,2.5
_0242_,2.4
_0407_,2.38
_0106_,2.375
net231,2.375
_0001_,2.325
_0104_,2.325
_0117_,2.325
_0291_,2.3
_0528_,2.3
net261,2.3
_0360_,2.29
_0017_,2.255
_0292_,2.255
_0035_,2.16
_0105_,2.16
_0498_,2.16
_0561_,2.16
_0562_,2.16
_0149_,2.125
_0132_,2.085
_0159_,2.06
_0542_,2.06
_0273_,2.04
_0334_,2.04
_0405_,2.04
_0065_,2.025
_0464_,2.02
_0092_,1.865
_0095_,1.865
_0112_,1.865
_0128_,1.865
_0162_,1.865
net198,1.865
net201,1.865
_0371_,1.84
_0369_,1.82
_0046_,1.7
_0277_,1.7
cpu.mem_if.signbit,1.7
_0506_,1.6
_0107_,1.575
_0202_,1.48
_0568_,1.48
_0116_,1.405
_0127_,1.405
_0146_,1.405
_0167_,1.405
_0283_,1.38
_0368_,1.38
_0201_,1.14
_0206_,1.14
_0225_,1.14
_0460_,1.14
_0480_,1.14
_0551_,1.14
_0558_,1.14
_0580_,1.14
_0611_,1.14
_0637_,1.14
_0639_,1.14
_0564_,1.02
_0577_,1.02
_0039_,0.8
cpu.gen_csr.csr.timer_irq_r,0.8
rf_ram_if.rdata0\[1\],0.8
